Order,Company,Index,File/Directory,Number,Percent,PercentAll
By number of commits to file,Red Hat,2,pkg,2672,67.424,17.19
By number of commits to file,Red Hat,2,pkg/client,704,17.764,4.529
By number of commits to file,Red Hat,2,test,406,10.245,2.612
By number of commits to file,Red Hat,2,pkg/client/clientset_generated,365,9.21,2.348
By number of commits to file,Red Hat,2,pkg/kubectl,348,8.781,2.239
By number of commits to file,Red Hat,2,pkg/registry,298,7.52,1.917
By number of commits to file,Red Hat,2,pkg/kubectl/cmd,291,7.343,1.872
By number of commits to file,Red Hat,2,pkg/controller,250,6.308,1.608
By number of commits to file,Red Hat,2,contrib/mesos,231,5.829,1.486
By number of commits to file,Red Hat,2,test/e2e,222,5.602,1.428
By number of commits to file,Red Hat,2,contrib/mesos/pkg,193,4.87,1.242
By number of commits to file,Red Hat,2,pkg/genericapiserver,178,4.492,1.145
By number of commits to file,Red Hat,2,pkg/apis,177,4.466,1.139
By number of commits to file,Red Hat,2,pkg/client/unversioned,165,4.164,1.062
By number of commits to file,Red Hat,2,pkg/kubelet,159,4.012,1.023
By number of commits to file,Red Hat,2,cmd,155,3.911,0.997
By number of commits to file,Red Hat,2,pkg/client/clientset_generated/release_1_5,148,3.735,0.952
By number of commits to file,Red Hat,2,pkg/client/clientset_generated/release_1_5/typed,139,3.507,0.894
